Hourly measurement data supplied by UK-air on 28/06/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"VofWH Abingdon Stert St 2",
Latitude,,51.671198,,
Longitude,,-1.281400,,
Site Type,,Urban Traffic,,
Zone,,South East,,
Agglomeration,,#N/A,,
Local Authority,,"White Horse",,
Date,Time,"Nitrogen dioxide",Status
2020-01-01,01:00:00,28.4231,V ugm-3
2020-01-01,02:00:00,30.59728,V ugm-3
2020-01-01,03:00:00,27.26063,V ugm-3
2020-01-01,04:00:00,26.08191,V ugm-3
2020-01-01,05:00:00,22.32466,V ugm-3
2020-01-01,06:00:00,23.56133,V ugm-3
2020-01-01,07:00:00,21.72277,V ugm-3
2020-01-01,08:00:00,20.41792,V ugm-3
2020-01-01,09:00:00,24.41066,V ugm-3
2020-01-01,10:00:00,25.82354,V ugm-3
2020-01-01,11:00:00,24.2271,V ugm-3
2020-01-01,12:00:00,27.19287,V ugm-3
2020-01-01,13:00:00,30.40872,V ugm-3
2020-01-01,14:00:00,21.72225,V ugm-3
2020-01-01,15:00:00,26.2627,V ugm-3
2020-01-01,16:00:00,27.47309,V ugm-3
2020-01-01,17:00:00,28.09817,V ugm-3
2020-01-01,18:00:00,29.43171,V ugm-3
2020-01-01,19:00:00,26.00657,V ugm-3
2020-01-01,20:00:00,28.38283,V ugm-3
2020-01-01,21:00:00,26.0811,V ugm-3
2020-01-01,22:00:00,20.3981,V ugm-3
2020-01-01,23:00:00,14.19656,V ugm-3
2020-01-01,24:00:00,9.35686,V ugm-3
2020-01-02,01:00:00,7.38942,V ugm-3
2020-01-02,02:00:00,7.66389,V ugm-3
2020-01-02,03:00:00,5.89272,V ugm-3
2020-01-02,04:00:00,4.96114,V ugm-3
2020-01-02,05:00:00,4.78298,V ugm-3
2020-01-02,06:00:00,7.42084,V ugm-3
2020-01-02,07:00:00,14.0729,V ugm-3
2020-01-02,08:00:00,23.25306,V ugm-3
2020-01-02,09:00:00,25.12664,V ugm-3
2020-01-02,10:00:00,34.19836,V ugm-3
2020-01-02,11:00:00,24.13681,V ugm-3
2020-01-02,12:00:00,17.02289,V ugm-3
2020-01-02,13:00:00,14.36809,V ugm-3
2020-01-02,14:00:00,13.61525,V ugm-3
2020-01-02,15:00:00,13.93519,V ugm-3
2020-01-02,16:00:00,No data,V ugm-3
2020-01-02,17:00:00,9.98043,V ugm-3
2020-01-02,18:00:00,15.14779,V ugm-3
2020-01-02,19:00:00,10.43492,V ugm-3
2020-01-02,20:00:00,5.84524,V ugm-3
2020-01-02,21:00:00,4.7861,V ugm-3
2020-01-02,22:00:00,2.60286,V ugm-3
2020-01-02,23:00:00,2.59049,V ugm-3
2020-01-02,24:00:00,2.0545,V ugm-3
2020-01-03,01:00:00,1.97485,V ugm-3
2020-01-03,02:00:00,1.51025,V ugm-3
2020-01-03,03:00:00,0.92649,V ugm-3
2020-01-03,04:00:00,0.5829,V ugm-3
2020-01-03,05:00:00,1.00176,V ugm-3
2020-01-03,06:00:00,3.13521,V ugm-3
2020-01-03,07:00:00,9.90506,V ugm-3
2020-01-03,08:00:00,14.22173,V ugm-3
2020-01-03,09:00:00,11.30476,V ugm-3
2020-01-03,10:00:00,9.64577,V ugm-3
2020-01-03,11:00:00,12.61901,V ugm-3
2020-01-03,12:00:00,16.97662,V ugm-3
2020-01-03,13:00:00,11.87885,V ugm-3
2020-01-03,14:00:00,12.05853,V ugm-3
2020-01-03,15:00:00,15.93622,V ugm-3
2020-01-03,16:00:00,18.46803,V ugm-3
2020-01-03,17:00:00,19.95481,V ugm-3
2020-01-03,18:00:00,29.33846,V ugm-3
2020-01-03,19:00:00,37.64143,V ugm-3
2020-01-03,20:00:00,38.40511,V ugm-3
2020-01-03,21:00:00,33.35925,V ugm-3
2020-01-03,22:00:00,29.57671,V ugm-3
2020-01-03,23:00:00,25.30227,V ugm-3
2020-01-03,24:00:00,23.90841,V ugm-3
2020-01-04,01:00:00,16.97328,V ugm-3
2020-01-04,02:00:00,12.57874,V ugm-3
2020-01-04,03:00:00,8.49199,V ugm-3
2020-01-04,04:00:00,8.09658,V ugm-3
2020-01-04,05:00:00,7.28572,V ugm-3
2020-01-04,06:00:00,8.83215,V ugm-3
2020-01-04,07:00:00,11.05868,V ugm-3
2020-01-04,08:00:00,15.1525,V ugm-3
2020-01-04,09:00:00,15.8848,V ugm-3
2020-01-04,10:00:00,18.24254,V ugm-3
2020-01-04,11:00:00,23.33951,V ugm-3
2020-01-04,12:00:00,22.17242,V ugm-3
2020-01-04,13:00:00,20.45747,V ugm-3
2020-01-04,14:00:00,16.24116,V ugm-3
2020-01-04,15:00:00,19.8542,V ugm-3
2020-01-04,16:00:00,24.38237,V ugm-3
2020-01-04,17:00:00,29.60178,V ugm-3
2020-01-04,18:00:00,37.17248,V ugm-3
2020-01-04,19:00:00,38.95738,V ugm-3
2020-01-04,20:00:00,36.0621,V ugm-3
2020-01-04,21:00:00,30.22735,V ugm-3
2020-01-04,22:00:00,33.60344,V ugm-3
2020-01-04,23:00:00,24.24107,V ugm-3
2020-01-04,24:00:00,17.31238,V ugm-3
2020-01-05,01:00:00,11.79461,V ugm-3
2020-01-05,02:00:00,7.44939,V ugm-3
